1266.52,POSITIVE,Hello.,2025-03-11T07:02:28.948790
1448.18,POSITIVE,Good day.,2025-03-11T07:02:30.419409
1447.95,NEGATIVE,How are you,2025-03-11T07:02:31.888252
1160.19,POSITIVE,Thank you,2025-03-11T07:02:33.071035
1159.25,POSITIVE,Yes please,2025-03-11T07:02:34.250299
1156.77,NEGATIVE,No thanks,2025-03-11T07:02:35.426786
1161.83,NEGATIVE,Lets go,2025-03-11T07:02:36.609383
1447.54,POSITIVE,See you soon,2025-03-11T07:02:38.077713
1748.63,POSITIVE,Have a nice day,2025-03-11T07:02:39.847780
1477.51,POSITIVE,Okay sounds good,2025-03-11T07:02:41.346242
3844.34,POSITIVE,The movie was absolutely fantastic and I enjoyed every minute,2025-03-11T07:02:45.222595
5167.18,POSITIVE,I am very happy with the service provided it exceeded my expectations,2025-03-11T07:02:50.420278
5212.52,POSITIVE,The food was delicious and the staff were incredibly friendly and helpful,2025-03-11T07:02:55.663118
4446.04,POSITIVE,This product is amazing I would highly recommend it to everyone,2025-03-11T07:03:00.140242
4441.61,POSITIVE,Everything was perfect from start to finish a truly wonderful experience,2025-03-11T07:03:04.613107
5158.18,POSITIVE,I am extremely satisfied with my purchase and would buy it again,2025-03-11T07:03:09.802310
5161.11,POSITIVE,The quality is excellent and the price is very reasonable great value,2025-03-11T07:03:15.000545
5932.94,POSITIVE,I had a fantastic time and will definitely be returning in the future,2025-03-11T07:03:20.968332
4457.85,POSITIVE,The atmosphere was lovely and the overall experience was top notch,2025-03-11T07:03:25.447000
4455.66,POSITIVE,I could not be happier with the outcome truly exceptional work,2025-03-11T07:03:29.922628
5166.98,NEGATIVE,The movie was terrible and I regretted wasting my time watching it,2025-03-11T07:03:35.109878
5889.25,NEGATIVE,I am very disappointed with the service it was far below my expectations,2025-03-11T07:03:41.019579
6997.51,NEGATIVE,The food was awful and the staff were rude and unhelpful a terrible experience,2025-03-11T07:03:48.037143
5549.72,NEGATIVE,This product is a complete waste of money do not buy it extremely poor quality,2025-03-11T07:03:53.607178
4830.48,NEGATIVE,Everything was a disaster from beginning to end a truly awful and frustrating experience,2025-03-11T07:03:58.458632
5896.11,NEGATIVE,I am extremely dissatisfied and will never purchase anything from this company again,2025-03-11T07:04:04.375519
